[18]Szereplőkvíz;Hamlet;Dán királyfi;hamlet.png
[18]Szereplőkvíz;Hamlet apja;Dánia volt királya;oreghamlet.png
[18]Szereplőkvíz;Claudius;Hamlet nagybátyja;claudius.png
[18]Szereplőkvíz;Gertrud;Hamlet megözvegyült anyja;gertrud.png
[18]Szereplőkvíz;Polonius;A király tanácsadója;polonius.png
[18]Szereplőkvíz;Ophelia;Hamlet szerelme;ophelia.png
[18]Szereplőkvíz;Laertes;Polonius fia;laertes.png
[18]Szereplőkvíz;Horatio;Hamlet tanácsadója, barátja;horatio.png
[18]Szereplőkvíz;Fortinbras;Norvégia trónörököse;fortinbras.png

[18]Hogy hal meg;Hamlet;Párbajban
[18]Hogy hal meg;Hamlet apja;Megmérgezik
[18]Hogy hal meg;Claudius;Leszúrja Hamlet
[18]Hogy hal meg;Gertrud;Mérget iszik véletlen
[18]Hogy hal meg;Polonius;Leszúrják miközben hallgatózik
[18]Hogy hal meg;Ophelia;Öngyilkos
[18]Hogy hal meg;Laertes;Párbajban
[18]Hogy hal meg;Horatio;Túléli


[18]Jellemzők;Hamlet;Döntésképtelen
[18]Jellemzők;Claudius;Hataloméhes
[18]Jellemzők;Gertrud;Áldozatul esett
[18]Jellemzők;Polonius;Ravasz
[18]Jellemzők;Horatio;Hűséges
[18]Jellemzők;Laertes;Forrófejű
 
[ 9]Melyik műben szerepel;Bede Anna tartozása;Bede Erzsi;bedeannatartozasa.png
[ 9]Melyik műben szerepel;Péri lányok szép hajáról;Péri Kata;perilanyok.png
[ 9]Melyik műben szerepel;Timár Zsófi özvegysége;Rögi Mihály;timarzsofi.png
[ 9]Melyik műben szerepel;A bágyi csoda;Vér Klára;bagyicsoda.png
[ 9]Melyik műben szerepel;A néhai bárány;Csuri Jóska;nehaibari.png

[ 3]Mikor történt;Megszületett;1877
[ 3]Mikor történt;Összeházasodik;1915
[ 3]Mikor történt;Meghal;1919
[ 3]Mikor történt;Megírja a Lédával a bálbant;1907
[ 3]Mikor történt;Megírja a Héja-nász az avaront;1906;hejanasz.png

[ 3]Melyik ki;Léda;Brüll Adél;leda1.png;leda2.png;leda3.png
[ 3]Melyik ki;Csinszka;Boncza Berta;csinszka.png
[ 3]Melyik ki;anyja;Pásztor Mária;pasztormaria.png
[ 3]Melyik ki;első szerelme, Zsóka;Friedmann Erzsike;zsoka.png
[ 3]Melyik ki;halálának oka;Mihályi Rozália




